treatment,game,round,time,id,side,valuation,bid,type,price,match_id,match_time
BBLimS,1,2,61,1059,Buyer,93.0,76,Manual,,,
BBLimS,1,2,65,1047,Buyer,123.0,10,Manual,,,
BBLimS,1,2,66,1040,Seller,63.0,90,Manual,,,
BBLimS,1,2,66,1040,Seller,63.0,92,Auto,92.0,1055.0,66.0
BBLimS,1,2,69,1052,Seller,93.0,115,Manual,,,
BBLimS,1,2,69,1051,Buyer,113.0,90,Manual,,,
BBLimS,1,2,73,1047,Buyer,123.0,10,Manual,,,
BBLimS,1,2,74,1059,Buyer,93.0,80,Manual,,,
BBLimS,1,2,76,1054,Seller,98.0,165,Manual,,,
BBLimS,1,2,80,1052,Seller,93.0,112,Manual,,,
BBLimS,1,2,82,1051,Buyer,113.0,100,Manual,,,
BBLimS,1,2,82,1047,Buyer,123.0,10,Manual,,,
BBLimS,1,2,86,1059,Buyer,93.0,85,Manual,,,
BBLimS,1,2,89,1047,Buyer,123.0,10,Manual,,,
BBLimS,1,2,90,1052,Seller,93.0,111,Manual,,,
BBLimS,1,2,92,1054,Seller,98.0,170,Manual,,,
BBLimS,1,2,94,1051,Buyer,113.0,110,Manual,110.0,1052.0,100.0
BBLimS,1,2,96,1047,Buyer,123.0,10,Manual,,,
BBLimS,1,2,98,1059,Buyer,93.0,92,Manual,,,
BBLimS,1,2,100,1052,Seller,93.0,107,Manual,,,
BBLimS,1,2,100,1052,Seller,93.0,110,Auto,110.0,1051.0,100.0
BBLimS,1,2,112,1047,Buyer,123.0,43,Manual,,,
BBLimS,1,2,112,1054,Seller,98.0,179,Manual,,,
BBLimS,1,2,113,1059,Buyer,93.0,90,Manual,,,
BBLimS,1,3,3,1043,Buyer,133.0,60,Manual,,,
BBLimS,1,3,4,1059,Buyer,93.0,20,Manual,,,
BBLimS,1,3,4,1040,Seller,63.0,200,Manual,,,
BBLimS,1,3,5,1055,Buyer,103.0,90,Manual,90.0,1046.0,5.0
BBLimS,1,3,5,1046,Seller,78.0,86,Manual,,,
BBLimS,1,3,5,1046,Seller,78.0,90,Auto,90.0,1055.0,5.0
BBLimS,1,3,6,1049,Buyer,118.0,50,Manual,,,
BBLimS,1,3,8,1054,Seller,98.0,150,Manual,,,
BBLimS,1,3,8,1045,Buyer,128.0,99,Manual,99.0,1044.0,9.0
BBLimS,1,3,9,1047,Buyer,123.0,10,Manual,,,
BBLimS,1,3,9,1044,Seller,73.0,85,Manual,,,
BBLimS,1,3,9,1044,Seller,73.0,99,Auto,99.0,1045.0,9.0
BBLimS,1,3,10,1053,Buyer,108.0,70,Manual,,,
BBLimS,1,3,11,1042,Seller,68.0,82,Manual,,,
BBLimS,1,3,12,1043,Buyer,133.0,65,Manual,,,
BBLimS,1,3,13,1056,Seller,,200,Manual,,,
BBLimS,1,3,14,1052,Seller,93.0,114,Manual,,,
BBLimS,1,3,18,1043,Buyer,133.0,70,Manual,,,
BBLimS,1,3,22,1047,Buyer,123.0,10,Manual,,,
BBLimS,1,3,22,1043,Buyer,133.0,75,Manual,,,
BBLimS,1,3,24,1040,Seller,63.0,150,Manual,,,
BBLimS,1,3,25,1054,Seller,98.0,140,Manual,,,
BBLimS,1,3,26,1049,Buyer,118.0,70,Manual,,,
BBLimS,1,3,26,1043,Buyer,133.0,80,Manual,,,
BBLimS,1,3,27,1059,Buyer,93.0,40,Manual,,,
BBLimS,1,3,28,1052,Seller,93.0,113,Manual,,,
BBLimS,1,3,30,1056,Seller,,184,Manual,,,
BBLimS,1,3,31,1043,Buyer,133.0,81,Manual,,,
BBLimS,1,3,33,1043,Buyer,133.0,82,Manual,,,
BBLimS,1,3,34,1047,Buyer,123.0,10,Manual,,,
BBLimS,1,3,36,1043,Buyer,133.0,83,Manual,,,
BBLimS,1,3,38,1051,Buyer,113.0,80,Manual,,,
BBLimS,1,3,40,1059,Buyer,93.0,55,Manual,,,
BBLimS,1,3,41,1052,Seller,93.0,113,Manual,,,
BBLimS,1,3,42,1056,Seller,,140,Manual,,,
BBLimS,1,3,43,1049,Buyer,118.0,75,Manual,,,
BBLimS,1,3,45,1040,Seller,63.0,130,Manual,,,
BBLimS,1,3,45,1054,Seller,98.0,105,Manual,,,
BBLimS,1,3,46,1043,Buyer,133.0,84,Manual,,,
BBLimS,1,3,46,1047,Buyer,123.0,40,Manual,,,
BBLimS,1,3,49,1043,Buyer,133.0,85,Manual,85.0,1042.0,50.0
BBLimS,1,3,50,1042,Seller,68.0,83,Manual,,,
BBLimS,1,3,50,1042,Seller,68.0,85,Auto,85.0,1043.0,50.0
BBLimS,1,3,53,1053,Buyer,108.0,70,Manual,,,
BBLimS,1,3,54,1052,Seller,93.0,112,Manual,,,
BBLimS,1,3,54,1056,Seller,,99,Manual,99.0,1051.0,56.0
BBLimS,1,3,56,1051,Buyer,113.0,100,Manual,,,
BBLimS,1,3,56,1051,Buyer,113.0,99,Auto,99.0,1056.0,56.0
BBLimS,1,3,57,1059,Buyer,93.0,80,Manual,,,
BBLimS,1,3,59,1047,Buyer,123.0,10,Manual,,,
BBLimS,1,3,60,1054,Seller,98.0,150,Manual,,,
BBLimS,1,3,60,1049,Buyer,118.0,85,Manual,,,
BBLimS,1,3,61,1040,Seller,63.0,100,Manual,,,
BBLimS,1,3,66,1052,Seller,93.0,112,Manual,,,
BBLimS,1,3,71,1059,Buyer,93.0,75,Manual,,,
BBLimS,1,3,74,1047,Buyer,123.0,10,Manual,,,
BBLimS,1,3,76,1040,Seller,63.0,95,Manual,95.0,1049.0,77.0
BBLimS,1,3,77,1049,Buyer,118.0,100,Manual,,,
BBLimS,1,3,77,1049,Buyer,118.0,95,Auto,95.0,1040.0,77.0
BBLimS,1,3,78,1053,Buyer,108.0,80,Manual,,,
BBLimS,1,3,79,1054,Seller,98.0,135,Manual,,,
BBLimS,1,3,85,1059,Buyer,93.0,70,Manual,,,
BBLimS,1,3,85,1052,Seller,93.0,111,Manual,,,
BBLimS,1,3,86,1047,Buyer,123.0,10,Manual,,,
BBLimS,1,3,93,1047,Buyer,123.0,10,Manual,,,
BBLimS,1,3,96,1052,Seller,93.0,110,Manual,,,
BBLimS,1,3,98,1054,Seller,98.0,140,Manual,,,
BBLimS,1,3,99,1059,Buyer,93.0,71,Manual,,,
BBLimS,1,3,100,1053,Buyer,108.0,100,Manual,,,
BBLimS,1,3,105,1047,Buyer,123.0,20,Manual,,,
BBLimS,1,3,108,1052,Seller,93.0,108,Manual,,,
BBLimS,1,3,110,1054,Seller,98.0,120,Manual,,,
BBLimS,1,3,114,1059,Buyer,93.0,75,Manual,,,
BBLimS,1,3,118,1052,Seller,93.0,105,Manual,,,
BBLimS,1,3,118,1054,Seller,98.0,140,Manual,,,
BBLimS,1,3,118,1047,Buyer,123.0,3,Manual,,,
BBLimS,1,4,5,1055,Buyer,103.0,85,Manual,85.0,1058.0,12.0
BBLimS,1,4,6,1059,Buyer,93.0,85,Manual,,,
BBLimS,1,4,6,1049,Buyer,118.0,50,Manual,,,
BBLimS,1,4,8,1046,Seller,78.0,93,Manual,,,
BBLimS,1,4,10,1056,Seller,,198,Manual,,,
BBLimS,1,4,12,1047,Buyer,123.0,10,Manual,,,
BBLimS,1,4,12,1058,Seller,,56,Manual,,,
BBLimS,1,4,12,1058,Seller,,85,Auto,85.0,1055.0,12.0
BBLimS,1,4,12,1053,Buyer,108.0,70,Manual,,,
BBLimS,1,4,13,1054,Seller,98.0,126,Manual,,,
BBLimS,1,4,15,1040,Seller,63.0,150,Manual,,,
BBLimS,1,4,15,1052,Seller,93.0,105,Manual,105.0,1045.0,18.0
BBLimS,1,4,18,1045,Buyer,128.0,111,Manual,,,
BBLimS,1,4,18,1045,Buyer,128.0,105,Auto,105.0,1052.0,18.0
BBLimS,1,4,19,1044,Seller,73.0,83,Manual,83.0,1059.0,23.0
BBLimS,1,4,19,1047,Buyer,123.0,10,Manual,,,
BBLimS,1,4,20,1043,Buyer,133.0,76,Manual,,,
BBLimS,1,4,22,1056,Seller,,150,Manual,,,
BBLimS,1,4,23,1059,Buyer,93.0,90,Manual,,,
BBLimS,1,4,23,1059,Buyer,93.0,83,Auto,83.0,1044.0,23.0
BBLimS,1,4,24,1043,Buyer,133.0,77,Manual,,,
BBLimS,1,4,27,1046,Seller,78.0,90,Manual,90.0,1053.0,31.0
BBLimS,1,4,27,1043,Buyer,133.0,78,Manual,,,
BBLimS,1,4,29,1049,Buyer,118.0,80,Manual,,,
BBLimS,1,4,30,1043,Buyer,133.0,79,Manual,,,
BBLimS,1,4,30,1053,Buyer,108.0,101,Manual,,,
BBLimS,1,4,31,1053,Buyer,108.0,90,Auto,90.0,1046.0,31.0
BBLimS,1,4,31,1051,Buyer,113.0,100,Manual,100.0,1054.0,33.0
BBLimS,1,4,33,1054,Seller,98.0,100,Manual,,,
BBLimS,1,4,33,1054,Seller,98.0,100,Auto,100.0,1051.0,33.0
BBLimS,1,4,33,1043,Buyer,133.0,80,Manual,,,
BBLimS,1,4,33,1040,Seller,63.0,140,Manual,,,
BBLimS,1,4,34,1047,Buyer,123.0,20,Manual,,,
BBLimS,1,4,41,1056,Seller,,120,Manual,,,
BBLimS,1,4,47,1043,Buyer,133.0,81,Manual,,,
BBLimS,1,4,48,1049,Buyer,118.0,100,Manual,,,
BBLimS,1,4,49,1040,Seller,63.0,122,Manual,,,
BBLimS,1,4,49,1047,Buyer,123.0,10,Manual,,,
BBLimS,1,4,56,1043,Buyer,133.0,82,Manual,,,
BBLimS,1,4,57,1056,Seller,,101,Manual,,,
BBLimS,1,4,59,1043,Buyer,133.0,83,Manual,,,
BBLimS,1,4,63,1047,Buyer,123.0,10,Manual,,,
BBLimS,1,4,63,1043,Buyer,133.0,84,Manual,,,
BBLimS,1,4,67,1043,Buyer,133.0,85,Manual,85.0,1042.0,76.0
BBLimS,1,4,68,1040,Seller,63.0,110,Manual,,,
BBLimS,1,4,74,1047,Buyer,123.0,10,Manual,,,
BBLimS,1,4,76,1042,Seller,68.0,82,Manual,,,
BBLimS,1,4,76,1042,Seller,68.0,85,Auto,85.0,1043.0,76.0
BBLimS,1,4,81,1040,Seller,63.0,95,Manual,,,
BBLimS,1,4,83,1056,Seller,,99,Manual,,,
BBLimS,1,4,86,1047,Buyer,123.0,10,Manual,,,
BBLimS,1,4,91,1049,Buyer,118.0,50,Manual,,,
BBLimS,1,4,94,1040,Seller,63.0,90,Manual,,,
BBLimS,1,4,94,1056,Seller,,70,Manual,,,
BBLimS,1,4,95,1047,Buyer,123.0,39,Manual,,,
BBLimS,1,4,107,1040,Seller,63.0,95,Manual,,,
BBLimS,1,4,107,1056,Seller,,33,Manual,33.0,1049.0,112.0
BBLimS,1,4,108,1047,Buyer,123.0,20,Manual,,,
BBLimS,1,4,112,1049,Buyer,118.0,110,Manual,,,
BBLimS,1,4,112,1049,Buyer,118.0,33,Auto,33.0,1056.0,112.0
BBLimS,1,4,113,1040,Seller,63.0,85,Manual,,,
BBLimS,1,5,5,1043,Buyer,133.0,80,Manual,,,
BBLimS,1,5,5,1059,Buyer,93.0,73,Manual,,,
BBLimS,1,5,6,1040,Seller,63.0,150,Manual,,,
BBLimS,1,5,7,1054,Seller,98.0,150,Manual,,,
BBLimS,1,5,8,1056,Seller,,124,Manual,,,
BBLimS,1,5,10,1047,Buyer,123.0,10,Manual,,,
BBLimS,1,5,11,1052,Seller,93.0,113,Manual,,,
BBLimS,1,5,14,1045,Buyer,128.0,111,Manual,111.0,1044.0,17.0
BBLimS,1,5,14,1053,Buyer,108.0,50,Manual,,,
BBLimS,1,5,17,1044,Seller,73.0,93,Manual,,,
BBLimS,1,5,17,1044,Seller,73.0,111,Auto,111.0,1045.0,17.0
BBLimS,1,5,20,1043,Buyer,133.0,81,Manual,,,
BBLimS,1,5,22,1054,Seller,98.0,140,Manual,,,
BBLimS,1,5,22,1052,Seller,93.0,113,Manual,,,
BBLimS,1,5,23,1040,Seller,63.0,125,Manual,,,
BBLimS,1,5,25,1055,Buyer,103.0,80,Manual,,,
BBLimS,1,5,26,1059,Buyer,93.0,75,Manual,,,
BBLimS,1,5,28,1049,Buyer,118.0,50,Manual,,,
BBLimS,1,5,34,1056,Seller,,88,Manual,,,
BBLimS,1,5,34,1052,Seller,93.0,113,Manual,,,
BBLimS,1,5,35,1043,Buyer,133.0,82,Manual,,,
BBLimS,1,5,37,1054,Seller,98.0,130,Manual,,,
BBLimS,1,5,37,1055,Buyer,103.0,80,Manual,,,
BBLimS,1,5,37,1040,Seller,63.0,120,Manual,,,
BBLimS,1,5,41,1059,Buyer,93.0,77,Manual,,,
BBLimS,1,5,45,1055,Buyer,103.0,85,Manual,,,
BBLimS,1,5,45,1052,Seller,93.0,113,Manual,,,
BBLimS,1,5,45,1053,Buyer,108.0,102,Manual,102.0,1056.0,46.0
BBLimS,1,5,45,1049,Buyer,118.0,75,Manual,,,
BBLimS,1,5,46,1056,Seller,,72,Manual,,,
BBLimS,1,5,46,1056,Seller,,102,Auto,102.0,1053.0,46.0
BBLimS,1,5,48,1047,Buyer,123.0,60,Manual,,,
BBLimS,1,5,48,1058,Seller,,100,Manual,,,
BBLimS,1,5,49,1043,Buyer,133.0,83,Manual,,,
BBLimS,1,5,51,1040,Seller,63.0,110,Manual,,,
BBLimS,1,5,53,1054,Seller,98.0,120,Manual,,,
BBLimS,1,5,54,1046,Seller,78.0,91,Manual,,,
BBLimS,1,5,54,1059,Buyer,93.0,82,Manual,,,
BBLimS,1,5,57,1055,Buyer,103.0,90,Manual,90.0,1058.0,64.0
BBLimS,1,5,58,1052,Seller,93.0,112,Manual,,,
BBLimS,1,5,61,1043,Buyer,133.0,84,Manual,,,
BBLimS,1,5,63,1040,Seller,63.0,105,Manual,,,
BBLimS,1,5,64,1047,Buyer,123.0,60,Manual,,,
BBLimS,1,5,64,1058,Seller,,67,Manual,,,
BBLimS,1,5,64,1058,Seller,,90,Auto,90.0,1055.0,64.0
BBLimS,1,5,67,1059,Buyer,93.0,83,Manual,,,
BBLimS,1,5,69,1054,Seller,98.0,105,Manual,,,
BBLimS,1,5,70,1052,Seller,93.0,113,Manual,,,
BBLimS,1,5,73,1043,Buyer,133.0,85,Manual,,,
BBLimS,1,5,73,1046,Seller,78.0,90,Manual,,,
BBLimS,1,5,76,1049,Buyer,118.0,50,Manual,,,
BBLimS,1,5,77,1047,Buyer,123.0,1,Manual,,,
BBLimS,1,5,80,1040,Seller,63.0,100,Manual,,,
BBLimS,1,5,83,1054,Seller,98.0,103,Manual,,,
BBLimS,1,5,83,1059,Buyer,93.0,87,Manual,,,
BBLimS,1,5,85,1052,Seller,93.0,156,Manual,,,
BBLimS,1,5,88,1043,Buyer,133.0,85,Manual,,,
BBLimS,1,5,89,1047,Buyer,123.0,1,Manual,,,
BBLimS,1,5,92,1040,Seller,63.0,95,Manual,,,
BBLimS,1,5,94,1052,Seller,93.0,167,Manual,,,
BBLimS,1,5,95,1051,Buyer,113.0,90,Manual,90.0,1046.0,105.0
BBLimS,1,5,95,1049,Buyer,118.0,90,Manual,90.0,1040.0,104.0
BBLimS,1,5,96,1043,Buyer,133.0,90,Manual,,,
BBLimS,1,5,96,1054,Seller,98.0,101,Manual,,,
BBLimS,1,5,99,1059,Buyer,93.0,90,Manual,,,
BBLimS,1,5,102,1047,Buyer,123.0,1,Manual,,,
BBLimS,1,5,104,1052,Seller,93.0,109,Manual,,,
BBLimS,1,5,104,1040,Seller,63.0,80,Manual,,,
BBLimS,1,5,104,1040,Seller,63.0,90,Auto,90.0,1049.0,104.0
BBLimS,1,5,105,1046,Seller,78.0,89,Manual,,,
BBLimS,1,5,105,1046,Seller,78.0,90,Auto,90.0,1051.0,105.0
BBLimS,1,5,105,1043,Buyer,133.0,95,Manual,,,
BBLimS,1,5,108,1043,Buyer,133.0,100,Manual,100.0,1054.0,110.0
BBLimS,1,5,110,1054,Seller,98.0,99,Manual,,,
BBLimS,1,5,110,1054,Seller,98.0,100,Auto,100.0,1043.0,110.0
BBLimS,1,5,111,1042,Seller,68.0,84,Manual,84.0,1059.0,113.0
BBLimS,1,5,113,1052,Seller,93.0,106,Manual,,,
BBLimS,1,5,113,1059,Buyer,93.0,92,Manual,,,
BBLimS,1,5,113,1059,Buyer,93.0,84,Auto,84.0,1042.0,113.0
BBLimS,1,6,4,1055,Buyer,103.0,85,Manual,85.0,1058.0,10.0
BBLimS,1,6,5,1056,Seller,,180,Manual,,,
BBLimS,1,6,6,1059,Buyer,93.0,35,Manual,,,
BBLimS,1,6,6,1054,Seller,98.0,120,Manual,,,
BBLimS,1,6,7,1052,Seller,93.0,109,Manual,,,
BBLimS,1,6,8,1047,Buyer,123.0,10,Manual,,,
BBLimS,1,6,9,1053,Buyer,108.0,70,Manual,,,
BBLimS,1,6,10,1045,Buyer,128.0,107,Manual,107.0,1046.0,10.0
BBLimS,1,6,10,1046,Seller,78.0,90,Manual,,,
BBLimS,1,6,10,1046,Seller,78.0,107,Auto,107.0,1045.0,10.0
BBLimS,1,6,10,1058,Seller,,39,Manual,,,
BBLimS,1,6,10,1058,Seller,,85,Auto,85.0,1055.0,10.0
BBLimS,1,6,13,1040,Seller,63.0,150,Manual,,,
BBLimS,1,6,14,1049,Buyer,118.0,50,Manual,,,
BBLimS,1,6,15,1043,Buyer,133.0,80,Manual,,,
BBLimS,1,6,15,1059,Buyer,93.0,45,Manual,,,
BBLimS,1,6,17,1056,Seller,,178,Manual,,,
BBLimS,1,6,19,1047,Buyer,123.0,20,Manual,,,
BBLimS,1,6,21,1059,Buyer,93.0,47,Manual,,,
BBLimS,1,6,21,1054,Seller,98.0,115,Manual,,,
BBLimS,1,6,24,1044,Seller,73.0,93,Manual,93.0,1049.0,28.0
BBLimS,1,6,25,1059,Buyer,93.0,49,Manual,,,
BBLimS,1,6,25,1053,Buyer,108.0,90,Manual,90.0,1042.0,31.0
BBLimS,1,6,26,1040,Seller,63.0,120,Manual,,,
BBLimS,1,6,27,1043,Buyer,133.0,85,Manual,,,
BBLimS,1,6,28,1059,Buyer,93.0,50,Manual,,,
BBLimS,1,6,28,1049,Buyer,118.0,100,Manual,,,
BBLimS,1,6,28,1049,Buyer,118.0,93,Auto,93.0,1044.0,28.0
BBLimS,1,6,31,1052,Seller,93.0,108,Manual,,,
BBLimS,1,6,31,1047,Buyer,123.0,10,Manual,,,
BBLimS,1,6,31,1042,Seller,68.0,85,Manual,,,
BBLimS,1,6,31,1042,Seller,68.0,90,Auto,90.0,1053.0,31.0
BBLimS,1,6,32,1056,Seller,,172,Manual,,,
BBLimS,1,6,36,1059,Buyer,93.0,48,Manual,,,
BBLimS,1,6,36,1054,Seller,98.0,110,Manual,,,
BBLimS,1,6,42,1043,Buyer,133.0,85,Manual,,,
BBLimS,1,6,42,1040,Seller,63.0,110,Manual,,,
BBLimS,1,6,43,1051,Buyer,113.0,80,Manual,,,
BBLimS,1,6,43,1047,Buyer,123.0,10,Manual,,,
BBLimS,1,6,44,1056,Seller,,144,Manual,,,
BBLimS,1,6,44,1059,Buyer,93.0,50,Manual,,,
BBLimS,1,6,44,1052,Seller,93.0,111,Manual,,,
BBLimS,1,6,52,1054,Seller,98.0,106,Manual,,,
BBLimS,1,6,55,1040,Seller,63.0,100,Manual,,,
BBLimS,1,6,55,1043,Buyer,133.0,85,Manual,,,
BBLimS,1,6,56,1047,Buyer,123.0,10,Manual,,,
BBLimS,1,6,57,1056,Seller,,99,Manual,,,
BBLimS,1,6,67,1051,Buyer,113.0,90,Manual,90.0,1056.0,74.0
BBLimS,1,6,68,1054,Seller,98.0,104,Manual,,,
BBLimS,1,6,68,1047,Buyer,123.0,20,Manual,,,
BBLimS,1,6,70,1043,Buyer,133.0,85,Manual,,,
BBLimS,1,6,72,1040,Seller,63.0,95,Manual,,,
BBLimS,1,6,73,1052,Seller,93.0,104,Manual,,,
BBLimS,1,6,74,1056,Seller,,84,Manual,,,
BBLimS,1,6,74,1056,Seller,,90,Auto,90.0,1051.0,74.0
BBLimS,1,6,80,1047,Buyer,123.0,20,Manual,,,
BBLimS,1,6,81,1043,Buyer,133.0,85,Manual,,,
BBLimS,1,6,84,1043,Buyer,133.0,85,Manual,,,
BBLimS,1,6,85,1054,Seller,98.0,102,Manual,,,
BBLimS,1,6,88,1052,Seller,93.0,103,Manual,,,
BBLimS,1,6,93,1043,Buyer,133.0,90,Manual,90.0,1040.0,97.0
BBLimS,1,6,94,1047,Buyer,123.0,10,Manual,,,
BBLimS,1,6,97,1040,Seller,63.0,85,Manual,,,
BBLimS,1,6,97,1040,Seller,63.0,90,Auto,90.0,1043.0,97.0
BBLimS,1,6,99,1052,Seller,93.0,99,Manual,,,
BBLimS,1,6,102,1054,Seller,98.0,99,Manual,,,
BBLimS,1,6,106,1047,Buyer,123.0,5,Manual,,,
BBLimS,1,6,110,1059,Buyer,93.0,60,Manual,,,
BBLimS,1,6,112,1052,Seller,93.0,98,Manual,,,
BBLimS,1,6,114,1054,Seller,98.0,98,Manual,,,
BBLimS,1,6,118,1047,Buyer,123.0,6,Manual,,,
BBLimS,1,7,4,1059,Buyer,93.0,60,Manual,,,
BBLimS,1,7,5,1043,Buyer,133.0,85,Manual,,,
BBLimS,1,7,6,1040,Seller,63.0,150,Manual,,,
